Title,genres,director,actors
friend of the world,"['Comedy', 'Science Fiction', 'Horror']",['Brian Patrick Butler '],"['Nick Young', 'Alexandra Slade', 'Michael C. Burgess']"
encanto,"['Animation', 'Comedy', 'Family', 'Fantasy']",[' Chasire Castro Smith '],"['Stephanie Beatriz', 'María Cecilia Botero', 'John Leguizamo']"
house of gucci,"['History', 'Drama', 'Crime']",['Ridley Scott '],"['Lady Gaga', 'Adam Driver', 'Jared Leto']"
the unforgivable,"['Drama', 'Crime']",['Nora Fingscheidt '],"['Sandra Bullock', ""Vincent D'Onofrio"", 'Jon Bernthal']"
resident evil: welcome to raccoon city,"['Horror', 'Science Fiction', 'Action']",['Johannes Roberts '],"['Kaya Scodelario', 'Hannah John-Kamen', 'Robbie Amell']"
8-bit christmas,"['Family', 'Comedy', 'Fantasy']",['Michael Dowse '],"['Neil Patrick Harris', 'Winslow Fegley', 'June Diane Raphael']"
the humans,['Drama'],['Stephen Karam '],"['Richard Jenkins', 'Jayne Houdyshell', 'Amy Schumer']"
south park: post covid,"['Animation', 'Comedy', 'TV Movie']",['Trey Parker '],"['Matt Stone', 'Mona Marshall', 'Kimberly Brooks']"
licorice pizza,"['Drama', 'Comedy', 'Romance']",['Paul Thomas Anderson '],"['Alana Haim', 'Cooper Hoffman', 'Sean Penn']"
single all the way,"['Romance', 'Comedy']",['Michael Mayer '],"['Michael Urie', 'Philemon Chambers', 'Luke Macfarlane']"
back to the outback,"['Family', 'Animation', 'Adventure', 'Comedy']","['Clare Knight ', ' Harry Cripps ']","['Isla Fisher', 'Tim Minchin', 'Eric Bana']"
diary of a wimpy kid,"['Comedy', 'Family']",[' Scott III '],"['Brady Noon', 'Ethan William Childress', 'Chris Diamantopoulos']"
encounter,"['Science Fiction', 'Mystery', 'Thriller', 'Drama']",['Michael Pierce '],"['Riz Ahmed', 'Octavia Spencer', 'Janina Gavankar']"
